Reference,Description,Price A,Category,Codigo de Barra,Rubro,Sub Rubro,Cant x Bulto,Stock,Comprado,Pendiente,Disponible,Temporada,Marca,Características,Observaciones,Price F,Tipo
G090001X,PAPA - CHINO PANT -KHAKI,9.75,,,HOMBRES,PANTALON,24,0,336,0,336,,OLIVER KENT,TALLA 42-48,,0,
G090002,CHINO PANTS-NAVY,9.75,,,HOMBRES,PANTALON,24,0,288,0,288,,OLIVER KENT,TALLA 30-40,,0,
G090002X,PAPA - CHINO PANT -NAVY,9.75,,,HOMBRES,PANTALON,24,0,336,0,336,,OLIVER KENT,TALLA 42-48,,0,
G090003,CHINO PANTS-OLIVE,9.75,,,HOMBRES,PANTALON,24,0,288,0,288,,OLIVER KENT,TALLA 30-40,,0,
G090003X,PAPA - CHINO PANT -OLIVE,9.75,,,HOMBRES,PANTALON,24,0,336,0,336,,OLIVER KENT,TALLA 42-48,,0,
G090004,CHINO PANTS-GREY,9.75,,,HOMBRES,PANTALON,24,0,288,0,288,,OLIVER KENT,TALLA 30-40,,0,
G090004X,PAPA - CHINO PANT -GREY,9.75,,,HOMBRES,PANTALON,24,0,336,0,336,,OLIVER KENT,TALLA 42-48,,0,
G090005,LIGHT TWILL CHINO - NAVY,10,,_601202186754,HOMBRES,PANTALON,24,535,0,0,535,,GENTS,30-38 (1-2-4-3-2),,0,REGULAR
G090005X,LIGHT TWILL CHINO (PAPA SIZE) - NAVY,12,,,PAPA SIZE,PANTALON,24,0,432,0,432,,GENTS,40-44 (4-4-4),,0,
G090006,LIGHT TWILL CHINO - KHAKI,10,,_601202187171,HOMBRES,PANTALON,24,491,0,0,491,,GENTS,30-38 (1-2-4-3-2),,0,REGULAR
G090006X,LIGHT TWILL CHINO (PAPA SIZE) - KHAKI,12,,,PAPA SIZE,PANTALON,24,0,432,0,432,,GENTS,40-44 (4-4-4),,0,
G090007,LIGHT TWILL CHINO - COFFE,10,,_601202174478,HOMBRES,PANTALON,24,514,0,0,514,,GENTS,30-38 (1-2-4-3-2),,0,REGULAR
G090007X,LIGHT TWILL CHINO (PAPA SIZE) - OLIVE,12,,,PAPA SIZE,PANTALON,24,0,432,0,432,,GENTS,40-44 (4-4-4),,0,
G090008,LIGHT TWILL CHINO - DK KHAKI,10,,_601202174881,HOMBRES,PANTALON,24,536,0,0,536,,GENTS,30-38 (1-2-4-3-2),,0,REGULAR
G090008X,LIGHT TWILL CHINO (PAPA SIZE) - STONE,12,,,PAPA SIZE,PANTALON,24,0,432,0,432,,GENTS,40-44 (4-4-4),,0,
GNMC-1403M,CAMISA - GNMC-1403M - MINT,10.5,,,HOMBRES,CAMISAS,48,36,0,0,36,,PRIVATE LABEL,S/2  M/4  L/4 XL/2,,0,REGULAR
GNMC-1403N,CAMISA - GNMC-1403N - NAVY,10.5,,_616245037123,HOMBRES,CAMISAS,48,36,0,0,36,,PRIVATE LABEL,S/2  M/4  L/4 XL/2,,0,REGULAR
GNMC-1403P,CAMISA - GNMC-1403P - PINK,10.5,,_616245037147,HOMBRES,CAMISAS,48,36,0,0,36,,PRIVATE LABEL,S/2  M/4  L/4 XL/2,,0,REGULAR
GNMC-1403S,CAMISA - GNMC-1403S - SKY,10.5,,_616245037161,HOMBRES,CAMISAS,48,36,0,0,36,,PRIVATE LABEL,S/2  M/4  L/4 XL/2,,0,REGULAR
GNMC-1403W,CAMISA - GNMC-1403W - WHITE,10.5,,_616245037185,HOMBRES,CAMISAS,48,36,0,0,36,,PRIVATE LABEL,S/2  M/4  L/4 XL/2,,0,REGULAR
GNP-2001XB,POLO - GNP-2001X - BLACK,8.15,,_616245037574,PAPA SIZE,POLOS,48,140,0,0,140,,PRIVATE LABEL,1XL /4   2XL/4    3XL/4,,0,REGULAR
GNP-2003N,POLO - GNP-2003 - NAVY,7.5,,_616245037628,HOMBRES,POLOS,48,100,0,0,100,,PRIVATE LABEL,S/2  M/4  L/4 XL/2,,0,REGULAR
GNP-2005XW,POLO - GNP-2005X - WHITE,8.15,,_616245037758,PAPA SIZE,POLOS,48,144,0,0,144,,PRIVATE LABEL,1XL /4   2XL/4    3XL/4,,0,REGULAR
GNP-2006HG,POLO - GNP-2006 - GREY,7.5,,_616245037772,HOMBRES,POLOS,48,96,0,0,96,,PRIVATE LABEL,S/2  M/4  L/4 XL/2,,0,REGULAR
GNP-2006N,POLO - GNP-2006 - NAVY,7.5,,_616245037789,HOMBRES,POLOS,48,96,0,0,96,,PRIVATE LABEL,S/2  M/4  L/4 XL/2,,0,REGULAR
GNP-2006W,POLO - GNP-2006 - WHITE,7.5,,_616245037796,HOMBRES,POLOS,48,96,0,0,96,,PRIVATE LABEL,S/2  M/4  L/4 XL/2,,0,REGULAR
GNP-2006XW,POLO - GNP-2006X - WHITE,8.15,,_616245037826,PAPA SIZE,POLOS,48,96,0,0,96,,GENTS,1XL /4   2XL/4    3XL/4,,0,REGULAR
GNP-2014G,POLO - GNP-2014 - GREEN,7.5,,_616245039035,HOMBRES,POLOS,48,96,0,0,96,,PRIVATE LABEL,S/2  M/4  L/4 XL/2,,0,REGULAR
GNP-2014HG,POLO - GNP-2014 - GREY,7.5,,_616245039042,HOMBRES,POLOS,48,89,0,0,89,,PRIVATE LABEL,S/2  M/4  L/4 XL/2,,0,REGULAR
GNP-2014N,POLO - GNP-2014 - NAVY,7.5,,_616245039059,HOMBRES,POLOS,48,96,0,0,96,,PRIVATE LABEL,S/2  M/4  L/4 XL/2,,0,REGULAR
GNP-2040HG,POLO - GNP-2040 - GREY,7.5,,_616245039301,HOMBRES,POLOS,48,96,0,0,96,,PRIVATE LABEL,S/2  M/4  L/4 XL/2,,0,REGULAR
